,numero_solicitacao,maiorAtraso,margemBrutaAcumulada,percentualProtestos,prazoMedioRecebimentoVendas,titulosEmAberto,valorSolicitado,diferencaPercentualRisco,percentualRisco,dashboardCorrelacao,valorAprovado,ativoCirculante,passivoCirculante,totalAtivo,totalPatrimonioLiquido,endividamento,duplicatasAReceber,estoque,faturamentoBruto,margemBruta,periodoDemonstrativoEmMeses,custos,anoFundacao,capitalSocial,scorePontualidade,limiteEmpresaAnaliseCredito,Unnamed: 0,numero_solicitacao,maiorAtraso,margemBrutaAcumulada,percentualProtestos,prazoMedioRecebimentoVendas
0,bootcamp-solicitacoescredito.csv,4550.04201493369,24.642594450016716,0.3621762216347821,0.01926042324682274,23.083026858352838,64871.00633010142,749243.5876518444,0.7503207436024756,0.24967925639752428,0.04723573580730051,189792.5769586471,44510281.217198394,33968150.17071625,70736227.55440524,28311717.52123389,4687958.015001057,16633967.484470738,15239556.06042679,55974202.67931412,16209878.900036482,10.37735619603551,28390609.7740484,2006.0274671852212,11214526.11120564,0.7983456840450908,2851016.6456003888,,,,,
1,definicaoRisco_De 0 a 10 % - Muito Baixo.csv,5032.711949685535,5101.100628930818,23.188050314465407,0.3507589706041509,0.025693058762414057,28.667295597484276,71321.27209433961,1003535.9440251573,0.9597694061604705,0.04023059383952937,-0.03998334873140663,241092.11678832117,80384725.72819217,53179408.47914033,122546845.64222503,48693952.9494311,4541227.310998736,41331637.371681415,15194792.046776233,86524107.04615384,28271282.16331361,10.989349112426035,45889470.156213015,1999.5491124260354,19790348.54674556,0.7886662787140252,3917350.5704142014,,,,
2,definicaoRisco_De 11 a 30 % - Baixo.csv,4680.406375390103,4746.263040570664,24.404592064199733,0.3692312837837495,0.006198173990971854,24.89010254123941,79735.36746544806,1022672.6261703076,0.7843275966078352,0.21567240339216462,0.00846500610638261,214314.7816851546,40649174.684043676,29048582.645649876,64197074.44557943,26665280.86121874,4771063.374779852,12246972.404015498,15872316.145473758,66109274.03522854,18757194.41694537,10.563879598662208,34000459.96098105,2003.892331698618,9492305.595407937,0.07311636201515827,0.2672759696834597,0.8074888381393891,2965586.9556397684,,
3,definicaoRisco_De 31 a 50 % - Médio.csv,3976.2271821442805,4035.728975687525,23.808290155440414,0.35880904764340377,0.038737148889423076,17.783579115185333,39814.708565165405,200069.26066161817,0.6060412971523539,0.393958702847646,0.14152199392418083,135114.63820224718,30852851.708007812,35320362.01074219,54202623.025390625,19308845.33203125,4918118.724609375,10978105.87109375,14663428.307617188,34487429.05548902,10059140.26267465,9.900998003992015,16805017.56726547,2010.7600637704265,11546723.075328816,0.13312076524511757,0.6556396970904743,0.7932807098863691,2508348.798326026,,
4,definicaoRisco_De 51 a 80 % - Alto.csv,3294.353092783505,3348.9613402061855,38.75,0.34916761308530925,0.02007455284375,13.574742268041238,28605.03847938145,97055.11597938144,0.4318130505460304,0.5681869494539694,0.2432141281774278,104142.08771929824,1095137.6329113925,878048.3670886076,1278858.012658228,94332.40506329114,187240.3417721519,310226.2784810127,416230.39240506326,11010036.974226804,207313.01288659795,9.963917525773196,233891.6469072165,2014.2190721649486,10301714.49484536,0.23969072164948454,0.8505154639175257,0.765052089647165,1419931.7268041237,,
5,empresa_MeEppMei_False.csv,4807.040229885058,4874.438565200158,26.08680142687277,0.3706235329813516,0.015701506505174035,23.561236623067778,83880.814274673,966442.3151010701,0.7831561494092623,0.21684385059073766,0.038034602266250654,252942.89839572192,63553734.15187064,49296696.93912492,102303903.69023462,40759910.21242866,6693034.68642993,23651139.042168673,21518967.815472417,85787495.9942506,25188334.05670103,10.29024583663759,43564492.19567803,2003.7209671026555,18129319.281014666,0.10998810939357907,0.0,0.8068873348857709,4461554.354736425,,
6,empresa_MeEppMei_nan.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,empresa_MeEppMei_True.csv,3825.3711502199876,3883.3035826524197,21.624450031426775,0.35435520879949717,0.016569066231939163,21.66310496543055,33477.2749717159,157325.71181646764,0.6397932440056179,0.36020675599438207,0.07288612644984499,87778.8407049067,6471617.153894871,3349887.6580113997,7680844.063331222,3446866.5091830273,682884.0303989867,2617400.611146295,2696639.86320456,8670568.9955961,1964101.04215162,10.515570934256056,4314779.97389116,2009.6851037083595,249081.0028284098,0.06756756756756757,1.0,0.7939304563048714,297033.84223758645,,
8,intervaloFundacao_Acima de 17 anos.csv,4336.643043640433,4399.389033942559,29.756434166355838,0.3682291478176427,0.02118514054666667,25.045132413278626,77205.20527415145,250463.733308467,0.787620984646876,0.21237901535312378,0.001045850905889046,220882.81878930816,67465592.29280096,61065733.425892316,105904288.2831216,42593258.709618874,6866699.752571083,26827132.013309136,20760513.09921355,75232352.16119403,19650037.30970149,10.66044776119403,36066415.647761196,1992.3674002237972,11874316.2845953,0.09772472957851548,0.24878776575904513,0.8018889386525551,3791330.9104811638,,
9,intervaloFundacao_De 0 a 5 anos.csv,4566.011368804002,4631.402910413824,11.797180536607549,0.36521834950200094,0.022935220482191782,19.549340609367896,41660.034697589814,138901.5443383356,0.6274947017083237,0.3725052982916763,0.1237351990541661,115889.08037094281,24584410.506044906,13609954.23747841,49241267.70034543,20392950.78670121,1753999.6632124353,7756552.541450777,5744292.902417962,28813616.743169397,7662752.380692167,10.045537340619308,13953257.712659381,2017.1577989995453,7625556.371077763,0.07548885857207822,0.5152341973624375,0.8079331271844475,1193135.2487494315,,
