,anoFundacao,intervaloFundacao
0,2003.0,Acima de 17 anos
1,,
2,2014.0,De 6 a 10 anos
3,2013.0,De 6 a 10 anos
4,2002.0,Acima de 17 anos
5,2011.0,De 6 a 10 anos
6,1982.0,Acima de 17 anos
7,2000.0,Acima de 17 anos
8,2000.0,Acima de 17 anos
9,,
10,2011.0,De 6 a 10 anos
11,2009.0,De 11 a 16 anos
12,2017.0,De 0 a 5 anos
13,,
14,1990.0,Acima de 17 anos
15,1999.0,Acima de 17 anos
16,1992.0,Acima de 17 anos
17,,
18,1992.0,Acima de 17 anos
19,1994.0,Acima de 17 anos
20,2009.0,De 11 a 16 anos
21,2008.0,De 11 a 16 anos
22,2009.0,De 11 a 16 anos
23,1996.0,Acima de 17 anos
24,,
25,2006.0,De 11 a 16 anos
26,,
27,2008.0,De 11 a 16 anos
28,2014.0,De 6 a 10 anos
29,,
30,,
31,2003.0,Acima de 17 anos
32,1997.0,Acima de 17 anos
33,1992.0,Acima de 17 anos
34,,
35,,
36,2012.0,De 6 a 10 anos
37,2008.0,De 11 a 16 anos
38,2010.0,De 6 a 10 anos
39,2016.0,De 0 a 5 anos
40,1992.0,Acima de 17 anos
41,2019.0,De 0 a 5 anos
42,2008.0,De 11 a 16 anos
43,2006.0,De 11 a 16 anos
44,1994.0,Acima de 17 anos
45,2005.0,De 11 a 16 anos
46,2000.0,Acima de 17 anos
47,2017.0,De 0 a 5 anos
48,2008.0,De 11 a 16 anos
49,2008.0,De 11 a 16 anos
50,2008.0,De 11 a 16 anos
51,1998.0,Acima de 17 anos
52,2015.0,De 0 a 5 anos
53,2012.0,De 6 a 10 anos
54,2013.0,De 6 a 10 anos
55,2011.0,De 6 a 10 anos
56,,
57,1999.0,Acima de 17 anos
58,2006.0,De 11 a 16 anos
59,2009.0,De 11 a 16 anos
60,2016.0,De 0 a 5 anos
61,2003.0,Acima de 17 anos
62,2010.0,De 6 a 10 anos
63,2007.0,De 11 a 16 anos
64,2004.0,De 11 a 16 anos
65,,
66,2000.0,Acima de 17 anos
67,2012.0,De 6 a 10 anos
68,2008.0,De 11 a 16 anos
69,2008.0,De 11 a 16 anos
70,2016.0,De 0 a 5 anos
71,1989.0,Acima de 17 anos
72,,
73,1996.0,Acima de 17 anos
74,,
75,1996.0,Acima de 17 anos
76,2006.0,De 11 a 16 anos
77,2012.0,De 6 a 10 anos
78,2007.0,De 11 a 16 anos
79,2018.0,De 0 a 5 anos
80,1991.0,Acima de 17 anos
81,1995.0,Acima de 17 anos
82,2017.0,De 0 a 5 anos
83,2014.0,De 6 a 10 anos
84,2010.0,De 6 a 10 anos
85,2005.0,De 11 a 16 anos
86,2017.0,De 0 a 5 anos
87,2012.0,De 6 a 10 anos
88,1985.0,Acima de 17 anos
89,2003.0,Acima de 17 anos
90,2007.0,De 11 a 16 anos
91,2015.0,De 0 a 5 anos
92,2015.0,De 0 a 5 anos
93,1997.0,Acima de 17 anos
94,1992.0,Acima de 17 anos
95,2018.0,De 0 a 5 anos
96,2015.0,De 0 a 5 anos
97,2005.0,De 11 a 16 anos
98,,
99,2000.0,Acima de 17 anos
100,1992.0,Acima de 17 anos
101,2016.0,De 0 a 5 anos
102,2016.0,De 0 a 5 anos
103,1992.0,Acima de 17 anos
104,2015.0,De 0 a 5 anos
105,2018.0,De 0 a 5 anos
106,1996.0,Acima de 17 anos
107,,
108,2015.0,De 0 a 5 anos
109,2012.0,De 6 a 10 anos
110,2008.0,De 11 a 16 anos
111,2008.0,De 11 a 16 anos
112,1985.0,Acima de 17 anos
113,2016.0,De 0 a 5 anos
114,,
115,2012.0,De 6 a 10 anos
116,2009.0,De 11 a 16 anos
117,1962.0,Acima de 17 anos
118,2019.0,De 0 a 5 anos
119,2006.0,De 11 a 16 anos
120,2004.0,De 11 a 16 anos
121,2018.0,De 0 a 5 anos
122,2003.0,Acima de 17 anos
123,2008.0,De 11 a 16 anos
124,2017.0,De 0 a 5 anos
125,2002.0,Acima de 17 anos
126,1996.0,Acima de 17 anos
127,2017.0,De 0 a 5 anos
128,2007.0,De 11 a 16 anos
129,1997.0,Acima de 17 anos
130,2013.0,De 6 a 10 anos
131,2012.0,De 6 a 10 anos
132,2013.0,De 6 a 10 anos
133,2014.0,De 6 a 10 anos
134,1986.0,Acima de 17 anos
135,1997.0,Acima de 17 anos
136,,
137,2018.0,De 0 a 5 anos
138,1991.0,Acima de 17 anos
139,1995.0,Acima de 17 anos
140,2008.0,De 11 a 16 anos
141,2010.0,De 6 a 10 anos
142,2005.0,De 11 a 16 anos
143,2017.0,De 0 a 5 anos
144,2006.0,De 11 a 16 anos
145,1971.0,Acima de 17 anos
146,2017.0,De 0 a 5 anos
147,2011.0,De 6 a 10 anos
148,2013.0,De 6 a 10 anos
149,2010.0,De 6 a 10 anos
150,2010.0,De 6 a 10 anos
151,2009.0,De 11 a 16 anos
152,2007.0,De 11 a 16 anos
153,2008.0,De 11 a 16 anos
154,2010.0,De 6 a 10 anos
155,2018.0,De 0 a 5 anos
156,2012.0,De 6 a 10 anos
157,1989.0,Acima de 17 anos
158,2016.0,De 0 a 5 anos
159,2016.0,De 0 a 5 anos
160,2000.0,Acima de 17 anos
161,2000.0,Acima de 17 anos
162,2018.0,De 0 a 5 anos
163,2005.0,De 11 a 16 anos
164,2004.0,De 11 a 16 anos
165,2011.0,De 6 a 10 anos
166,,
167,1993.0,Acima de 17 anos
168,2003.0,Acima de 17 anos
169,2012.0,De 6 a 10 anos
170,,
171,2004.0,De 11 a 16 anos
172,2015.0,De 0 a 5 anos
173,2018.0,De 0 a 5 anos
174,2011.0,De 6 a 10 anos
175,,
176,2003.0,Acima de 17 anos
177,2014.0,De 6 a 10 anos
178,2013.0,De 6 a 10 anos
179,2015.0,De 0 a 5 anos
180,2011.0,De 6 a 10 anos
181,1985.0,Acima de 17 anos
182,1998.0,Acima de 17 anos
183,2010.0,De 6 a 10 anos
184,,
185,2012.0,De 6 a 10 anos
186,2014.0,De 6 a 10 anos
187,2010.0,De 6 a 10 anos
188,2016.0,De 0 a 5 anos
189,,
190,2002.0,Acima de 17 anos
191,2012.0,De 6 a 10 anos
192,1996.0,Acima de 17 anos
193,2004.0,De 11 a 16 anos
194,2012.0,De 6 a 10 anos
195,1992.0,Acima de 17 anos
196,2005.0,De 11 a 16 anos
197,2008.0,De 11 a 16 anos
198,2017.0,De 0 a 5 anos
199,1987.0,Acima de 17 anos
200,2011.0,De 6 a 10 anos
201,1982.0,Acima de 17 anos
202,1999.0,Acima de 17 anos
203,2015.0,De 0 a 5 anos
204,,
205,2010.0,De 6 a 10 anos
206,2010.0,De 6 a 10 anos
207,1985.0,Acima de 17 anos
208,2017.0,De 0 a 5 anos
209,2000.0,Acima de 17 anos
210,2005.0,De 11 a 16 anos
211,2016.0,De 0 a 5 anos
212,2000.0,Acima de 17 anos
213,2018.0,De 0 a 5 anos
214,1976.0,Acima de 17 anos
215,2006.0,De 11 a 16 anos
216,2014.0,De 6 a 10 anos
217,2011.0,De 6 a 10 anos
218,1999.0,Acima de 17 anos
219,2002.0,Acima de 17 anos
220,2015.0,De 0 a 5 anos
221,2013.0,De 6 a 10 anos
222,,
223,1958.0,Acima de 17 anos
224,,
225,2014.0,De 6 a 10 anos
226,2003.0,Acima de 17 anos
227,1993.0,Acima de 17 anos
228,1996.0,Acima de 17 anos
229,2006.0,De 11 a 16 anos
230,2013.0,De 6 a 10 anos
231,1946.0,Acima de 17 anos
232,2003.0,Acima de 17 anos
233,2017.0,De 0 a 5 anos
234,2006.0,De 11 a 16 anos
235,2012.0,De 6 a 10 anos
236,1998.0,Acima de 17 anos
237,2017.0,De 0 a 5 anos
238,2017.0,De 0 a 5 anos
239,2017.0,De 0 a 5 anos
240,2017.0,De 0 a 5 anos
241,2017.0,De 0 a 5 anos
242,2015.0,De 0 a 5 anos
243,1997.0,Acima de 17 anos
244,2004.0,De 11 a 16 anos
245,2007.0,De 11 a 16 anos
246,2010.0,De 6 a 10 anos
247,1976.0,Acima de 17 anos
248,2005.0,De 11 a 16 anos
249,1980.0,Acima de 17 anos
250,1996.0,Acima de 17 anos
251,2013.0,De 6 a 10 anos
252,2010.0,De 6 a 10 anos
253,1997.0,Acima de 17 anos
254,1984.0,Acima de 17 anos
255,2015.0,De 0 a 5 anos
256,2005.0,De 11 a 16 anos
257,1991.0,Acima de 17 anos
258,1991.0,Acima de 17 anos
259,2018.0,De 0 a 5 anos
260,2010.0,De 6 a 10 anos
261,1997.0,Acima de 17 anos
262,1986.0,Acima de 17 anos
263,2014.0,De 6 a 10 anos
264,2005.0,De 11 a 16 anos
265,2017.0,De 0 a 5 anos
266,2008.0,De 11 a 16 anos
267,2017.0,De 0 a 5 anos
268,2004.0,De 11 a 16 anos
269,2008.0,De 11 a 16 anos
270,,
271,2013.0,De 6 a 10 anos
272,2016.0,De 0 a 5 anos
273,1988.0,Acima de 17 anos
274,2009.0,De 11 a 16 anos
275,2015.0,De 0 a 5 anos
276,2018.0,De 0 a 5 anos
277,2018.0,De 0 a 5 anos
278,1997.0,Acima de 17 anos
279,1982.0,Acima de 17 anos
280,2002.0,Acima de 17 anos
281,2004.0,De 11 a 16 anos
282,1998.0,Acima de 17 anos
283,2015.0,De 0 a 5 anos
284,1987.0,Acima de 17 anos
285,1998.0,Acima de 17 anos
286,2011.0,De 6 a 10 anos
287,1978.0,Acima de 17 anos
288,2008.0,De 11 a 16 anos
289,2016.0,De 0 a 5 anos
290,1942.0,Acima de 17 anos
291,2018.0,De 0 a 5 anos
292,1942.0,Acima de 17 anos
293,1942.0,Acima de 17 anos
294,1948.0,Acima de 17 anos
295,1948.0,Acima de 17 anos
296,1948.0,Acima de 17 anos
297,,
298,2005.0,De 11 a 16 anos
299,2015.0,De 0 a 5 anos
300,1993.0,Acima de 17 anos
301,1989.0,Acima de 17 anos
302,2008.0,De 11 a 16 anos
303,1951.0,Acima de 17 anos
304,1985.0,Acima de 17 anos
305,2011.0,De 6 a 10 anos
306,2010.0,De 6 a 10 anos
307,,
308,1991.0,Acima de 17 anos
309,2011.0,De 6 a 10 anos
310,1976.0,Acima de 17 anos
311,2008.0,De 11 a 16 anos
312,2010.0,De 6 a 10 anos
313,,
314,2008.0,De 11 a 16 anos
315,2012.0,De 6 a 10 anos
316,2013.0,De 6 a 10 anos
317,1993.0,Acima de 17 anos
318,1992.0,Acima de 17 anos
319,2016.0,De 0 a 5 anos
320,2003.0,Acima de 17 anos
321,1998.0,Acima de 17 anos
322,,
323,2002.0,Acima de 17 anos
324,1997.0,Acima de 17 anos
325,2001.0,Acima de 17 anos
326,2015.0,De 0 a 5 anos
327,2012.0,De 6 a 10 anos
328,2011.0,De 6 a 10 anos
329,2005.0,De 11 a 16 anos
330,2019.0,De 0 a 5 anos
331,2012.0,De 6 a 10 anos
332,2016.0,De 0 a 5 anos
333,2011.0,De 6 a 10 anos
334,2000.0,Acima de 17 anos
335,2017.0,De 0 a 5 anos
336,2013.0,De 6 a 10 anos
337,1991.0,Acima de 17 anos
338,2016.0,De 0 a 5 anos
339,2017.0,De 0 a 5 anos
340,2005.0,De 11 a 16 anos
341,2018.0,De 0 a 5 anos
342,1995.0,Acima de 17 anos
343,2015.0,De 0 a 5 anos
344,2011.0,De 6 a 10 anos
345,1995.0,Acima de 17 anos
346,2006.0,De 11 a 16 anos
347,2017.0,De 0 a 5 anos
348,2003.0,Acima de 17 anos
349,2009.0,De 11 a 16 anos
350,1988.0,Acima de 17 anos
351,1998.0,Acima de 17 anos
352,1994.0,Acima de 17 anos
353,2013.0,De 6 a 10 anos
354,1996.0,Acima de 17 anos
355,2004.0,De 11 a 16 anos
356,2013.0,De 6 a 10 anos
357,2001.0,Acima de 17 anos
358,2005.0,De 11 a 16 anos
359,2008.0,De 11 a 16 anos
360,2017.0,De 0 a 5 anos
361,1951.0,Acima de 17 anos
362,2015.0,De 0 a 5 anos
363,1984.0,Acima de 17 anos
364,2003.0,Acima de 17 anos
365,1951.0,Acima de 17 anos
366,1985.0,Acima de 17 anos
367,2002.0,Acima de 17 anos
368,2010.0,De 6 a 10 anos
369,2015.0,De 0 a 5 anos
370,1994.0,Acima de 17 anos
371,2006.0,De 11 a 16 anos
372,2010.0,De 6 a 10 anos
373,2016.0,De 0 a 5 anos
374,2018.0,De 0 a 5 anos
375,1984.0,Acima de 17 anos
